Names,R,G,B,Variance,Energy,Entropy,Contrast,Homogeneity
Bus,103.9210205078125,97.7638651529948,106.43369547526042,0.0746570426316639,22633.69817170973,36670.01881246027,1060475676.3397894,767.4812759948188
Bus,129.4633585611979,78.60030110677083,88.3359375,0.07820991072081475,21305.035505111584,36375.38158398316,966823446.9753631,982.7828932815491
Dinosaur,208.24308268229166,210.52389526367188,202.60145060221353,0.03547546381312579,69471.94185060696,18676.471162849604,1830215559.5986004,2059.567150367016
Dinosaur,218.01676432291666,209.44828287760416,201.88887532552084,0.024298826850575644,69775.82121644917,19393.49319119942,1836428880.4421787,2166.508685659638
Dinosaur,178.86168416341147,173.5948486328125,161.8243408203125,0.07260975943782595,52808.76346362358,27592.077603560483,1653928328.96876,1670.469041583303
Dinosaur,200.88858032226562,200.21971638997397,195.82412719726562,0.05616184616675826,65931.09457309329,19974.434903986716,1760644453.4973907,1884.389818800398
Dinosaur,194.95907592773438,186.16849772135416,181.8687540690104,0.07782907626113501,61246.92294671989,21097.330570441816,1692570991.6856802,1910.6365910114528
Dinosaur,203.5233154296875,195.30852254231772,178.99895222981772,0.044181298600716214,62351.96667248441,23321.229842431945,1733421412.0466557,2065.3744932078644
Dinosaur,193.25126139322916,196.81409708658853,190.77871704101562,0.048533480472438446,62281.20722075729,23168.01031788127,1793308434.228724,1865.4340429207398
Dinosaur,220.6465861002604,214.0115763346354,203.08653767903647,0.022101229050550734,71878.27365008737,18022.35013803898,1860994544.1297753,2129.6595091791055
Dinosaur,196.67669677734375,195.22569783528647,187.64598592122397,0.06325696943871714,63572.026625829516,20915.800281102038,1796169206.8412347,1891.3688191332224
Bus,98.78347778320312,98.94748942057292,116.8737284342448,0.07210772062325121,22489.515218744444,37910.031135559795,944438535.745778,1187.0933005847205
Dinosaur,204.75018310546875,203.71591186523438,194.5260009765625,0.03726354948627465,65936.04927866675,21207.77037891979,1736933361.7766979,2056.3926301526512
Elephant,121.13528442382812,126.32313028971355,91.12942504882812,0.022668542912219546,24270.309842859373,46350.55841881548,986109919.374682,1239.4830335043478
Elephant,139.24921671549478,113.705322265625,71.25719197591145,0.03546671275384588,24001.33611278007,45105.96259317057,941573070.5954802,1133.6360212271836
Elephant,149.89336140950522,139.79487101236978,124.87208048502605,0.045625749643305846,34582.89710542022,39535.28351659953,1135855347.5344725,1487.633870092494
Elephant,133.99481201171875,147.7221476236979,112.83602905273438,0.04836300129008445,34227.744681947544,39270.68100007734,1274566372.875033,1400.9873950894378
Elephant,158.58304850260416,149.68781534830728,105.9954833984375,0.05480939185592712,38212.26712228343,36834.82638041756,1422985609.2087584,1552.4942273293777
Elephant,108.9174296061198,116.7735087076823,66.31735229492188,0.034544122786384114,21246.038312124783,44485.11916409407,912408000.6341462,1118.8064783042003
Elephant,150.55134073893228,132.28484090169272,117.63929239908855,0.03532359565075848,31459.927284770733,42033.90254964293,1064518808.9229069,1403.5717377663618
Elephant,79.48512776692708,105.2564188639323,65.61551920572917,0.04712399676011008,17714.620752871186,43768.196821356265,886472526.9690487,868.9637716878143
Elephant,106.15376790364583,118.02396647135417,73.31585693359375,0.041055181460470526,22118.739399274902,44168.10831775606,854422315.593895,1134.3534232409158
